state,year,death_rate_per_100k
Georgia,2020.0,21.458498313209418
Georgia,2021.0,28.715132346951304
Georgia,2022.0,29.995620602860168
Georgia,2023.0,27.094962075110594
Hawaii,2018.0,15.205202830354526
Hawaii,2019.0,15.82604243491674
Hawaii,2020.0,17.831140093171435
Hawaii,2021.0,20.59480941040518
Hawaii,2022.0,20.309383375518113
Hawaii,2023.0,26.489817933007508
Idaho,2018.0,15.814628593112076
Idaho,2019.0,20.382709881675424
Idaho,2020.0,20.208708121574443
Idaho,2021.0,24.951470538732767
Idaho,2022.0,23.306367939051864
Idaho,2023.0,25.970402526226493
Illinois,2018.0,24.0597536587401
Illinois,2019.0,24.127444126597304
Illinois,2020.0,27.03307518771147
Illinois,2021.0,29.1843480145176
Illinois,2022.0,28.525270441749555
Illinois,2023.0,26.151347607003558
Indiana,2018.0,31.035011335475566
Indiana,2019.0,30.424358767605703
Indiana,2020.0,38.35544542782505
Indiana,2021.0,43.34392899119012
Indiana,2022.0,42.16586925160991
Indiana,2023.0,37.27966182183105
Iowa,2018.0,13.044934497709772
Iowa,2019.0,18.767437784025056
Iowa,2020.0,18.203604967632284
Iowa,2021.0,16.16397251667267
Iowa,2022.0,19.679520779097185
Iowa,2023.0,19.80193496007141
Kansas,2018.0,14.258129864649062
Kansas,2019.0,17.143042141233234
Kansas,2020.0,20.381578934725944
Kansas,2021.0,27.59580410708554
Kansas,2022.0,30.26669381413055
Kansas,2023.0,26.827338002657015
Kentucky,2018.0,34.98986877551967
Kentucky,2019.0,38.82136943498032
Kentucky,2020.0,55.323252478016684
Kentucky,2021.0,68.51097045607443
Kentucky,2022.0,65.96662709139848
Kentucky,2023.0,63.907110157293864
Louisiana,2018.0,30.363972429343196
Louisiana,2019.0,30.85546808790619
Louisiana,2020.0,43.202894936166416
Louisiana,2021.0,51.42564424143084
Louisiana,2022.0,53.57914612465789
Louisiana,2023.0,49.05375686459216
Maine,2018.0,28.033237445090865
Maine,2019.0,28.996245379719817
Maine,2020.0,38.90484197993106
Maine,2021.0,49.26377169319026
Maine,2022.0,52.83506741334274
Maine,2023.0,51.04720255439405
Maryland,2018.0,39.998401620446295
Maryland,2019.0,40.14671297551284
Maryland,2020.0,49.165984096177056
Maryland,2021.0,46.91982574957788
Maryland,2022.0,43.477572870337184
Maryland,2023.0,43.94739632990809
Massachusetts,2018.0,34.75527372631531
Massachusetts,2019.0,34.749622050893834
Massachusetts,2020.0,36.55595338902135
Massachusetts,2021.0,41.257995028576495
Massachusetts,2022.0,39.87740018289035
Massachusetts,2023.0,36.855383943987256
Michigan,2018.0,24.168889496424054
Michigan,2019.0,22.029186707873908
Michigan,2020.0,26.461701278133518
Michigan,2021.0,29.793864839751897
Michigan,2022.0,28.255659121263264
Michigan,2023.0,25.816363185609646
Minnesota,2018.0,10.687972548319646
Minnesota,2019.0,15.289591773888068
Minnesota,2020.0,22.08754362919541
Minnesota,2021.0,36.00867086327013
Minnesota,2022.0,27.350623716311112
Minnesota,2023.0,25.073291719962352
Mississippi,2018.0,17.396574447982616
Mississippi,2019.0,20.334908934927043
Mississippi,2020.0,30.673032268440387
Mississippi,2021.0,36.87467449331475
Mississippi,2022.0,36.492433773228946
Mississippi,2023.0,32.602686404013
Missouri,2018.0,27.970295867678946
Missouri,2019.0,30.517583050035157
Missouri,2020.0,34.89963499877122
Missouri,2021.0,42.44307532931358
Missouri,2022.0,42.06312483706584
Missouri,2023.0,37.534833907931805
Montana,2018.0,16.318845762465447
Montana,2019.0,14.607798048962895
Montana,2020.0,17.291974279776824
Montana,2021.0,32.64951108498073
Montana,2022.0,24.275171070857514
Montana,2023.0,20.580916713532165
Nebraska,2018.0,8.94562537974185
Nebraska,2019.0,10.137520252144327
Nebraska,2020.0,12.420787916460943
Nebraska,2021.0,12.700638931622022
Nebraska,2022.0,13.784241145191388
Nebraska,2023.0,9.310301211813117
Nevada,2018.0,30.00384515827442
Nevada,2019.0,25.816884589771583
Nevada,2020.0,24.783414748049626
Nevada,2021.0,30.481106001292982
Nevada,2022.0,39.61365861064646
Nevada,2023.0,39.32043747870462
New Hampshire,2018.0,33.76590717584432
New Hampshire,2019.0,29.629256517192427
New Hampshire,2020.0,28.09266935899035
New Hampshire,2021.0,36.883023770317294
New Hampshire,2022.0,36.4964992649091
New Hampshire,2023.0,31.055503243240118
New Jersey,2018.0,37.41866403451983
New Jersey,2019.0,35.426715364108794
New Jersey,2020.0,35.77741292142085
New Jersey,2021.0,35.315210653493125
New Jersey,2022.0,34.56126991436071
New Jersey,2023.0,30.86661759210437
New Mexico,2018.0,28.720662405021297
New Mexico,2019.0,29.256010005425775
New Mexico,2020.0,37.71835013942135
New Mexico,2021.0,53.60814825085865
New Mexico,2022.0,51.4029879256438
New Mexico,2023.0,51.22992448792837
New York,2018.0,21.900489661960577
New York,2019.0,21.514960788841815
New York,2020.0,28.420548268726165
New York,2021.0,30.979252678852166
New York,2022.0,32.300538386811816
New York,2023.0,31.59744270493274
North Carolina,2018.0,25.807504685150995
North Carolina,2019.0,25.675280293374254
North Carolina,2020.0,35.10549141480782
