year,population,state_code,actual_rate,predicted_rate
2020.0,221428.0,0,20.32263309066604,24.72352208410518
2021.0,585008.0,27,15.555342832918525,28.95354676853257
2022.0,139843.0,17,22.88280428766545,41.636323799101575
2021.0,25798.0,33,73.64912008682843,56.79315520100942
2022.0,168456.0,35,28.494087476848552,37.53262911891938
2023.0,88615.0,10,23.698019522654175,27.98427120673556
2018.0,106222.0,35,26.35988778219201,24.945243122937736
2023.0,33593.0,20,56.55940225642247,47.102052128722605
2020.0,221262.0,31,16.722256871943667,33.3004320053168
2018.0,85832.0,9,23.301332836238235,21.538744426580934
2021.0,296329.0,10,24.972243688602877,23.143356826037305
2020.0,22833.0,17,61.31476371917838,64.8363141011799
2022.0,27686.0,31,43.34320595246695,57.654899523828945
2019.0,64934.0,42,29.2604798718699,30.500094169345935
2018.0,86184.0,38,44.091710758377424,27.118487975975953
2020.0,49935.0,36,30.0390507659958,35.18669580534032
2021.0,61986.0,33,41.94495531248992,37.6791880014145
2020.0,226075.0,35,58.83003428065908,35.018810072197994
2022.0,102293.0,4,33.2378559627736,29.834899594303643
2018.0,75457.0,46,15.90309712816571,20.736970835784764
2020.0,26542.0,17,79.11988546454675,53.00140070010249
2023.0,66250.0,24,25.660377358490564,26.753794924916022
2023.0,66970.0,49,23.891294609526653,21.775084108754044
2020.0,55876.0,24,55.47999140954971,36.35901026288563
2022.0,195897.0,33,24.5026723227002,37.967664997230514
2021.0,284034.0,22,42.60053373891858,34.39585906430462
2018.0,70116.0,14,39.93382394888471,26.208032761608614
2021.0,242253.0,2,32.197743681192804,27.77507011472781
2021.0,34623.0,31,60.65332293562083,56.59323795347227
2022.0,37956.0,33,52.692591421646114,41.01570485619185
2022.0,137048.0,18,75.15614967018854,44.26921205248637
2019.0,30573.0,4,39.25031890884113,41.801823593117106
2020.0,69504.0,22,14.38766114180479,22.401100320890688
2023.0,484239.0,2,22.30303631058217,30.100575637031174
2023.0,30610.0,45,32.66906239790918,46.930907736333054
2022.0,47367.0,14,23.22291890978952,30.860181442865855
2020.0,617855.0,43,7.606962798714909,15.202889158824096
2022.0,31504.0,29,76.18080243778569,51.47146271238064
2023.0,36165.0,0,33.181252592285354,37.39476421412856
2018.0,274255.0,4,15.314214873019637,16.25453039208999
2021.0,207369.0,10,20.25375056059488,25.2333712084461
2020.0,496865.0,47,22.74259607740533,26.38984444812227
2023.0,37774.0,33,52.94647111770001,41.03896426706651
2018.0,179436.0,43,6.687621213134488,10.413509113760693
2023.0,17439.0,48,212.168128906474,116.7913269938349
2018.0,178550.0,7,35.84430131615794,33.61769720641833
2022.0,198268.0,9,35.30574777573789,33.642004889908534
2023.0,336001.0,20,12.49996279772977,28.667917466565086
2020.0,822736.0,30,25.88922813636452,32.76425435212747
2019.0,105089.0,23,9.51574379811398,18.062403220091383
2019.0,74266.0,35,22.89069022163574,26.31561021683581
2023.0,30648.0,46,48.94283476898983,46.511377226699835
2021.0,251269.0,46,23.082831547067087,29.688917018710775
2018.0,39764.0,37,27.66321295644301,33.47387183813393
2021.0,253704.0,43,28.379528899820265,18.509976922882924
2020.0,44590.0,38,24.66920834267773,37.678780885822256
2020.0,60848.0,22,19.72127267946358,24.463390528098884
2018.0,69267.0,5,17.32426696695396,24.110206683282524
2019.0,122259.0,16,13.086971102331932,18.854816541907823
2020.0,33935.0,46,35.36172093708561,40.10282051816269
2020.0,177863.0,43,12.369070576792252,14.313214156483872
2023.0,575347.0,49,26.071223105360765,25.688842871207957
2019.0,936250.0,10,8.544726301735649,17.330192164603652
2021.0,3286069.0,4,29.82286738349073,28.49593905521441
2020.0,1061175.0,2,38.91912267062455,30.239777618476914
2019.0,565217.0,21,49.71541903375164,43.50331298063806
2019.0,413210.0,0,12.100384792236394,17.255088713639022
2020.0,36281.0,0,27.562636090515696,34.98354474557689
2019.0,46233.0,17,30.28140073107953,40.64451827322014
2021.0,110686.0,1,35.23480837684983,28.345168350427684
2020.0,20837.0,42,76.78648557853818,62.63328112230176
2019.0,83779.0,14,23.872330775015214,25.29945117085176
2023.0,15963.0,31,75.17383950385266,74.18047984153793
2020.0,40381.0,38,24.76412174042248,37.74323978646349
2022.0,55141.0,46,18.13532580112802,42.36067415372388
2020.0,2489188.0,4,27.920751666808616,24.70739192837683
2022.0,513936.0,30,28.408206469288004,34.28824929008446
2021.0,93304.0,15,11.789419531852868,19.3662110869918
